"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3086","Test Case 6: Contact Us Form","chromium","Thu Oct 24 15:11:48 UTC 2024","passed","Thu Oct 24 15:11:51 UTC 2024","","Test-Case-6-Contact-Us-Form.spec.ts","",""
"","2640","Test Case 9: Search Product","chromium","Thu Oct 24 15:11:57 UTC 2024","passed","Thu Oct 24 15:11:59 UTC 2024","","Test-Case-9-Search-Product.spec.ts","",""
"","3115","Test Case 5: Register User with existing email","chromium","Thu Oct 24 15:11:45 UTC 2024","passed","Thu Oct 24 15:11:48 UTC 2024","","Test-Case-5-Register-User-With-Existing-Email.spec.ts","",""
"","372","has title","chromium","Thu Oct 24 15:11:34 UTC 2024","passed","Thu Oct 24 15:11:34 UTC 2024","","example.spec.ts","",""
"","2730","Test Case 8: Verify All Products and product detail page","chromium","Thu Oct 24 15:11:54 UTC 2024","passed","Thu Oct 24 15:11:57 UTC 2024","","Test-Case-8-Verify-All-Products-and-product-detail-page.spec.ts","",""
"","2676","Test Case 3: Login User with incorrect email and password","chromium","Thu Oct 24 15:11:40 UTC 2024","passed","Thu Oct 24 15:11:43 UTC 2024","","Test-Case-3-Login-User-With-Incorrect-Email-And-Password.spec.ts","",""
"","2288","Test Case 1: Register User","chromium","Thu Oct 24 15:11:35 UTC 2024","passed","Thu Oct 24 15:11:37 UTC 2024","","Test-Case-1-Register-User.spec.ts","",""
"","2333","Test Case 7: Verify Test Cases Page","chromium","Thu Oct 24 15:11:51 UTC 2024","passed","Thu Oct 24 15:11:54 UTC 2024","","Test-Case-7-Verify-Test-Cases-Page.spec.ts","",""
"","2922","Test Case 2: Login User with correct email and password","chromium","Thu Oct 24 15:11:37 UTC 2024","passed","Thu Oct 24 15:11:40 UTC 2024","","Test-Case-2-Login-User-With-Correct-Email-And-Password.spec.ts","",""
"","525","get started link","chromium","Thu Oct 24 15:11:35 UTC 2024","passed","Thu Oct 24 15:11:35 UTC 2024","","example.spec.ts","",""
"","2273","Test Case 4: Logout User","chromium","Thu Oct 24 15:11:43 UTC 2024","passed","Thu Oct 24 15:11:45 UTC 2024","","Test-Case-4-Logout-User.spec.ts","",""
